customer_id,age,gender,country,join_date,membership_type,devices_owned,profile_count,is_active,avg_watch_minutes,avg_sessions,binge_days,active_days,late_ratio,payment_count,avg_amount_due,avg_amount_paid,ticket_count,avg_resolution,unresolved_count,churn
CUST_000001,56,Female,AU,2023-11-08,Basic,3,4,1,22.43956043956044,2.1868131868131866,0,91,0.0833333333333333,12,9.99,9.574166666666668,1.0,12.16,0.0,1
CUST_000002,69,Male,UK,2023-12-17,Premium,4,3,1,122.9010989010989,2.208791208791209,21,91,0.0833333333333333,12,19.99,19.99,1.0,31.88,0.0,0
CUST_000003,46,Male,BR,2023-09-02,Standard,3,4,1,87.26373626373626,2.065934065934066,4,91,0.0833333333333333,12,15.49,14.199166666666668,0.0,0.0,0.0,1
CUST_000004,32,Female,US,2022-12-04,Standard,1,4,1,72.53846153846153,2.1538461538461537,0,91,0.0,12,15.49,15.49,0.0,0.0,0.0,1
CUST_000005,60,Male,IN,2022-09-03,Premium,1,1,1,121.26373626373626,2.131868131868132,18,91,0.0,12,19.99,19.99,1.0,8.63,0.0,0
CUST_000006,25,Male,BR,2023-07-12,Basic,4,4,1,45.13186813186813,2.417582417582417,0,91,0.0833333333333333,12,9.99,9.99,0.0,0.0,0.0,0
CUST_000007,38,Female,BR,2022-07-23,Basic,4,2,1,44.97802197802198,2.131868131868132,0,91,0.0833333333333333,12,9.99,9.1575,1.0,8.87,0.0,1
CUST_000008,56,Male,BR,2024-06-23,Standard,3,3,1,84.96703296703296,2.120879120879121,3,91,0.0,7,15.49,15.49,1.0,9.18,0.0,0
CUST_000009,36,Female,US,2023-11-05,Standard,3,4,1,61.142857142857146,1.9230769230769231,0,91,0.0,12,15.49,15.49,1.0,13.08,0.0,0
CUST_000010,40,Female,AU,2024-01-06,Standard,3,3,1,46.04395604395605,2.043956043956044,0,91,0.0,12,15.49,15.49,1.0,19.54,0.0,1
CUST_000011,28,Male,AU,2022-10-11,Standard,1,2,1,80.72527472527473,2.208791208791209,1,91,0.0,12,15.49,15.49,0.0,0.0,0.0,1
CUST_000012,28,Other,US,2022-08-06,Standard,4,3,1,88.74725274725274,2.1648351648351647,0,91,0.0,12,15.49,15.49,2.0,4.6,0.0,0
CUST_000013,41,Male,AU,2023-07-27,Standard,2,2,1,90.63736263736264,2.1538461538461537,1,91,0.0,12,15.49,15.49,1.0,12.12,0.0,1
CUST_000014,53,Male,US,2022-07-01,Premium,4,2,1,132.52747252747253,2.3736263736263736,23,91,0.0,12,19.99,19.99,1.0,34.79,0.0,0
CUST_000015,57,Male,IN,2024-08-31,Basic,4,1,1,77.85714285714286,2.131868131868132,1,91,0.0,5,9.99,9.99,2.0,12.425,0.0,1
CUST_000016,41,Male,US,2024-07-29,Standard,4,2,1,87.82417582417582,2.142857142857143,3,91,0.0,6,15.49,15.49,1.0,24.92,0.0,1
