iter	Passed	Remaining
0	187	187451
1	198	99231
2	206	68719
3	213	53123
4	219	43670
5	225	37430
6	231	32793
7	236	29276
8	242	26711
9	247	24499
10	251	22645
11	257	21191
12	262	19897
13	268	18881
14	272	17924
15	277	17089
16	283	16412
17	289	15802
18	295	15241
19	300	14732
20	306	14276
21	310	13789
22	319	13576
23	325	13218
24	331	12912
25	337	12629
26	342	12335
27	348	12080
28	353	11850
29	358	11592
30	364	11407
31	370	11200
32	375	11008
33	380	10822
34	385	10632
35	390	10455
36	396	10325
37	401	10173
38	407	10051
39	414	9959
40	420	9840
41	425	9715
42	431	9597
43	436	9482
44	441	9369
45	447	9270
46	453	9195
47	459	9122
48	464	9010
49	470	8938
50	477	8876
51	483	8817
52	489	8754
53	495	8678
54	500	8603
55	506	8541
56	513	8503
57	519	8443
58	525	8388
59	532	8337
60	537	8276
61	544	8234
62	549	8172
63	554	8115
64	559	8055
65	565	8006
66	571	7951
67	576	7898
68	581	7849
69	587	7810
70	593	7765
71	599	7724
72	605	7685
73	610	7635
74	615	7592
75	621	7557
76	626	7512
77	632	7479
78	638	7439
79	643	7399
80	648	7361
81	654	7332
82	660	7302
83	666	7269
84	672	7242
85	677	7204
86	682	7166
87	687	7128
88	692	7092
89	698	7057
90	703	7030
91	709	7004
92	714	6970
93	719	6933
94	724	6905
95	729	6872
96	735	6842
97	741	6826
98	747	6800
99	753	6779
100	758	6752
101	763	6724
102	769	6705
103	775	6679
104	780	6653
105	787	6640
106	792	6613
107	798	6595
108	804	6575
109	810	6554
110	817	6543
111	822	6520
112	827	6499
113	833	6480
114	839	6461
115	845	6441
116	850	6415
117	854	6390
118	859	6362
119	864	6339
120	870	6323
121	876	6308
122	881	6283
123	885	6253
124	891	6237
125	895	6214
126	900	6190
127	905	6166
128	909	6143
129	915	6123
130	919	6101
131	925	6082
132	929	6062
133	934	6041
134	939	6018
135	944	6002
136	950	5986
137	955	5967
138	961	5953
139	966	5939
140	973	5927
141	978	5912
142	984	5899
143	989	5883
144	995	5867
145	1000	5851
146	1005	5833
147	1010	5818
148	1015	5799
149	1020	5783
150	1025	5764
151	1029	5743
152	1034	5725
153	1040	5713
154	1044	5693
