customer_id,age,gender,country,join_date,membership_type,devices_owned,profile_count,churn,churn_date,tenure_days,is_active
CUST_0000001,56,Female,AU,2023-11-08,Basic,3,4,1,2023-11-08,0,0
CUST_0000002,69,Male,UK,2023-12-17,Premium,4,3,1,2023-12-17,0,0
CUST_0000003,46,Male,BR,2023-09-02,Standard,3,4,1,2023-09-02,0,0
CUST_0000004,32,Female,US,2022-12-04,Standard,1,4,1,2022-12-04,0,0
CUST_0000005,60,Male,IN,2022-09-03,Premium,1,1,1,2022-09-03,0,0
CUST_0000006,25,Male,BR,2023-07-12,Basic,4,4,1,2023-07-12,0,0
CUST_0000007,38,Female,BR,2022-07-23,Basic,4,2,1,2022-07-23,0,0
CUST_0000008,56,Male,BR,2024-06-23,Standard,3,3,1,2024-06-23,0,0
CUST_0000009,36,Female,US,2025-05-01,Standard,3,4,1,2025-05-01,0,0
CUST_0000010,40,Female,AU,2025-10-14,Standard,3,3,1,2025-10-14,0,0
CUST_0000011,28,Male,AU,2023-11-05,Standard,1,2,1,2023-11-05,0,0
CUST_0000012,28,Other,US,2024-01-06,Standard,4,3,1,2024-01-06,0,0
CUST_0000013,41,Male,AU,2025-07-01,Standard,2,2,1,2025-07-02,1,0
CUST_0000014,53,Male,US,2022-10-11,Premium,4,2,1,2022-10-11,0,0
CUST_0000015,57,Male,IN,2022-08-06,Basic,4,1,1,2022-08-06,0,0
CUST_0000016,41,Male,US,2023-07-27,Standard,4,2,1,2023-07-27,0,0
CUST_0000017,20,Female,AU,2022-07-01,Standard,2,1,1,2022-07-01,0,0
CUST_0000018,39,Male,US,2024-08-31,Standard,3,4,1,2024-08-31,0,0
CUST_0000019,19,Male,UK,2024-07-29,Basic,2,1,1,2024-07-29,0,0
CUST_0000020,41,Male,CA,2025-05-31,Basic,4,1,1,2025-05-31,0,0
CUST_0000021,61,Female,US,2022-07-27,Standard,4,4,1,2022-07-27,0,0
CUST_0000022,47,Female,IN,2023-02-27,Basic,1,3,1,2023-02-27,0,0
CUST_0000023,55,Male,US,2025-04-08,Basic,4,3,1,2025-04-08,0,0
CUST_0000024,19,Male,BR,2022-05-19,Basic,2,4,1,2022-05-19,0,0
CUST_0000025,38,Male,AU,2022-07-22,Standard,2,2,1,2022-07-22,0,0
CUST_0000026,50,Male,DE,2022-09-11,Standard,2,1,1,2022-09-12,1,0
CUST_0000027,29,Female,DE,2025-04-04,Standard,3,3,1,2025-04-05,1,0
CUST_0000028,39,Female,CA,2023-07-23,Basic,1,3,1,2023-07-23,0,0
CUST_0000029,61,Male,US,2025-11-20,Standard,3,2,1,2025-12-10,20,0
CUST_0000030,42,Male,UK,2023-03-02,Standard,2,3,1,2023-03-02,0,0
CUST_0000031,66,Male,US,2025-03-06,Basic,3,3,1,2025-03-06,0,0
CUST_0000032,44,Female,AU,2025-11-30,Basic,1,3,1,2025-11-30,0,0
CUST_0000033,59,Male,US,2024-07-22,Premium,1,4,1,2024-07-22,0,0
CUST_0000034,45,Other,AU,2024-08-26,Standard,1,3,1,2024-08-26,0,0
CUST_0000035,33,Female,US,2024-02-01,Standard,1,3,1,2024-02-01,0,0
CUST_0000036,32,Male,DE,2023-07-23,Basic,2,4,1,2023-07-23,0,0
CUST_0000037,64,Female,US,2023-08-02,Premium,4,3,1,2023-08-02,0,0
CUST_0000038,68,Female,US,2022-08-19,Standard,2,2,1,2022-08-19,0,0
CUST_0000039,61,Female,BR,2024-09-21,Premium,2,1,1,2024-09-22,1,0
CUST_0000040,69,Male,US,2025-06-21,Premium,2,4,1,2025-06-24,3,0
CUST_0000041,20,Male,BR,2022-10-13,Premium,2,4,1,2022-10-14,1,0
CUST_0000042,54,Female,IN,2024-07-10,Premium,3,3,1,2024-07-10,0,0
CUST_0000043,68,Female,US,2022-02-23,Basic,1,1,1,2022-02-23,0,0
CUST_0000044,24,Female,AU,2024-02-29,Premium,4,2,1,2024-02-29,0,0
CUST_0000045,38,Female,UK,2025-11-16,Basic,4,2,1,2025-11-21,5,0
CUST_0000046,26,Female,BR,2023-08-01,Premium,4,1,1,2023-08-02,1,0
CUST_0000047,56,Female,UK,2025-07-17,Basic,2,1,1,2025-07-17,0,0
CUST_0000048,35,Male,IN,2023-01-24,Standard,1,2,1,2023-01-24,0,0
CUST_0000049,21,Female,US,2024-11-02,Basic,1,3,1,2024-11-02,0,0
CUST_0000050,42,Female,US,2022-12-09,Standard,4,1,1,2022-12-09,0,0
CUST_0000051,31,Female,UK,2022-12-05,Basic,4,1,1,2022-12-05,0,0
CUST_0000052,67,Female,CA,2022-01-24,Standard,2,3,1,2022-01-24,0,0
