ticket_id,customer_id,created_date,issue_type,severity,resolution_time_hrs,resolved
TKT_0000001,CUST_000001,2022-07-25,Technical,Low,12.16,1
TKT_0000002,CUST_000002,2023-12-21,Technical,Medium,31.88,1
TKT_0000003,CUST_000005,2024-01-13,Technical,Low,8.63,1
TKT_0000004,CUST_000007,2023-12-11,Technical,Medium,8.87,1
TKT_0000005,CUST_000008,2022-03-31,Technical,Low,9.18,1
TKT_0000006,CUST_000009,2024-08-30,Technical,Low,13.08,1
TKT_0000007,CUST_000010,2023-10-31,Technical,Medium,19.54,1
TKT_0000008,CUST_000012,2024-08-30,Technical,Low,1.42,1
TKT_0000009,CUST_000012,2022-11-05,Content,Low,7.78,1
TKT_0000010,CUST_000013,2024-02-09,Content,Low,12.12,1
TKT_0000011,CUST_000014,2022-11-07,Billing,Medium,34.79,1
TKT_0000012,CUST_000015,2024-11-17,Technical,Medium,21.0,1
TKT_0000013,CUST_000015,2024-08-14,Billing,Low,3.85,1
TKT_0000014,CUST_000016,2023-11-05,Content,Medium,24.92,1
TKT_0000015,CUST_000019,2022-10-15,Technical,Medium,30.82,1
TKT_0000016,CUST_000020,2024-04-13,Content,Low,7.38,1
TKT_0000017,CUST_000021,2024-04-02,Technical,Medium,25.92,1
TKT_0000018,CUST_000022,2024-08-10,Technical,Low,9.89,1
TKT_0000019,CUST_000023,2024-04-14,Technical,Medium,20.71,1
TKT_0000020,CUST_000024,2023-08-03,Content,High,50.97,1
TKT_0000021,CUST_000025,2024-06-27,Technical,Low,2.68,1
TKT_0000022,CUST_000027,2022-01-26,Content,High,70.46,1
TKT_0000023,CUST_000029,2024-03-25,Technical,Medium,28.14,1
TKT_0000024,CUST_000031,2023-12-26,Technical,Medium,24.65,1
TKT_0000025,CUST_000032,2023-07-28,Billing,Low,9.02,1
TKT_0000026,CUST_000035,2024-05-21,Content,Low,9.7,1
TKT_0000027,CUST_000040,2023-09-02,Technical,Low,5.05,1
TKT_0000028,CUST_000042,2024-11-10,Technical,Low,11.12,1
TKT_0000029,CUST_000043,2023-01-24,Technical,Low,3.84,1
TKT_0000030,CUST_000045,2022-05-30,Technical,Low,13.08,1
TKT_0000031,CUST_000048,2024-12-01,Content,Low,11.34,1
TKT_0000032,CUST_000048,2022-11-04,Billing,Low,8.36,1
TKT_0000033,CUST_000050,2023-04-10,Content,High,46.08,0
TKT_0000034,CUST_000053,2022-08-05,Content,Low,8.41,1
TKT_0000035,CUST_000054,2023-04-03,Content,Medium,21.54,1
TKT_0000036,CUST_000055,2023-01-30,Technical,High,31.81,1
TKT_0000037,CUST_000055,2022-07-04,Technical,Medium,28.19,1
TKT_0000038,CUST_000056,2022-01-31,Content,Low,3.59,1
TKT_0000039,CUST_000057,2022-11-16,Technical,Low,6.13,1
TKT_0000040,CUST_000058,2022-01-09,Technical,Low,9.75,1
TKT_0000041,CUST_000058,2023-01-20,Billing,High,47.52,1
TKT_0000042,CUST_000059,2023-03-01,Technical,High,33.27,1
TKT_0000043,CUST_000060,2022-07-20,Technical,Low,7.78,1
TKT_0000044,CUST_000060,2022-10-02,Technical,Medium,24.25,1
TKT_0000045,CUST_000062,2023-01-18,Billing,Medium,34.75,1
TKT_0000046,CUST_000062,2024-09-15,Technical,Medium,29.75,1
TKT_0000047,CUST_000064,2024-09-07,Billing,High,46.72,1
TKT_0000048,CUST_000067,2024-10-14,Technical,Low,4.7,1
TKT_0000049,CUST_000068,2024-05-21,Technical,Low,11.97,1
TKT_0000050,CUST_000069,2024-04-07,Content,High,56.62,0
TKT_0000051,CUST_000071,2022-09-29,Billing,Low,5.24,1
TKT_0000052,CUST_000072,2023-05-26,Billing,Medium,30.17,1
TKT_0000053,CUST_000076,2023-09-17,Technical,Medium,31.37,1
TKT_0000054,CUST_000078,2024-09-04,Billing,Low,2.89,1
TKT_0000055,CUST_000079,2022-04-24,Technical,Low,7.18,1
TKT_0000056,CUST_000080,2022-09-13,Billing,Medium,27.67,1
TKT_0000057,CUST_000080,2022-01-24,Technical,Low,11.28,1
TKT_0000058,CUST_000082,2022-05-17,Technical,Medium,21.49,1
TKT_0000059,CUST_000082,2024-07-27,Content,Low,9.3,1
